Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12498683,"RESULTS: By following the in vivo pattern of modifications on histone H3, following estrogen stimulation of the pS2 promoter, we show that arginine methylation follows prior acetylation of H3."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12498683,"A mechanism for the observed cooperation between acetylation and arginine methylation comes from the finding that acetylation at K18 and K23, but not K14, tethers recombinant CARM1 to the H3 tail and allows it to act as a more efficient arginine methyltransferase."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12498683,CONCLUSION: These results reveal an ordered and interdependent deposition of acetylation and arginine methylation during estrogen-regulated transcription and provide support for a combinatorial role of histone modifications in gene expression.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,11494123,"General serine-threonine phosphatase inhibitors such sodium fluoride, or ss-glycerophosphate and sodium pyrophosphate, or specific PP1 and PP2A inhibitors including microcystin-LR, protein phosphatase 2A inhibitor I(1) or protein phosphatase inhibitor 2 all abrogate H-Ras and K-Ras dependent Raf-1 activation in vitro."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11494123,Sucrose gradient analysis demonstrates that serine phosphatase inhibition increases the total amount of 14-3-3 and Raf-1 associated with the plasma membrane and significantly alters the distribution of 14-3-3 and Raf-1 across different plasma membrane microdomains.
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,7964616,"We deduce from these results that EBNA-2-positive cells might indeed contain specific complexes bound to the LMP promoter which are, however, too labile to be detected in a standard gel retardation assay."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,7964616,"We deduce from these results that EBNA-2-positive cells might indeed contain specific complexes bound to the LMP promoter which are, however, too labile to be detected in a standard gel retardation assay."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,7964616,"We deduce from these results that EBNA-2-positive cells might indeed contain specific complexes bound to the LMP promoter which are, however, too labile to be detected in a standard gel retardation assay."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,22742743,"These individuals share clinical features similar to those of congenital myasthenic syndrome due to GFPT1 mutations, and their disorder might be part of a larger subgroup comprising the congenital myasthenic syndromes that result from defects in the N-linked glycosylation pathway and that manifest through impaired neuromuscular transmission."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,14563551,"Recently, the human C(alpha)-formylglycine (FGly)-generating enzyme (FGE), whose deficiency causes the autosomal-recessively transmitted lysosomal storage disease multiple sulfatase deficiency (MSD), has been identified."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21464368,"Although Pofut1 deficiency slightly decreased cell surface expression of Notch1 and Notch2, it completely abrogated the binding of Notch receptors with Delta-like Notch ligands and suppressed downstream Notch target activation, indicating that O-fucose glycans are critical for efficient Notch-ligand binding that transduce Notch signals."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22623373,volcanii CPs were analyzed by high-performance mass spectrometry and an open modification search strategy to first generate and then to interpret the resulting tandem mass spectrometric data.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,10598587,We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,8943311,"Reaction of hydroxylamine-treated ASGP-R with [14C]iodoacetamide resulted in the specific incorporation of radioactivity into all RHL and HHL subunits, verifying that fatty acids are attached via thioester linkages."
C-C motif chemokine 7,Tumor necrosis factor,unknown,C-C motif chemokine 7,Tumor necrosis factor,7540942,"CD30, a member of the tumor necrosis factor (TNF) receptor family, is expressed constitutively on the surface of the human T cell line ACH-2, which is chronically infected with human immunodeficiency virus type-1 (HIV)-1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,7540942,"We demonstrate that cross-linking CD30 with an anti-CD30-specific monoclonal antibody, which mimics the described biological activities of the CD30 ligand (CD30L), results in HIV expression."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22721435,"Collectively, these data suggest that although MeFapy-dGuo adducts represent a relatively minor proportion of the total alkylated lesions, their miscoding potentials could significantly contribute to genomic instability."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,10660620,"SHP-1-mediated dephosphorylation of protein tyrosine residues is central to the regulation of several cell signaling pathways, the specificity of which is dictated by the intrinsic affinity of SH2 domains for the flanking sequences of phosphotyrosine residues."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20829795,Studies on the significance of microtubule acetylation have been limited by the undefined status of the alpha-tubulin acetyltransferase.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20829795,"Here we show that MEC-17, a protein related to the Gcn5 histone acetyltransferases and required for the function of touch receptor neurons in Caenorhabditis elegans, acts as a K40-specific acetyltransferase for alpha-tubulin."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15983063,"These results show that disrupting the cell cycle regulatory function of C/EBP alpha is sufficient to initiate AML-like transformation of the granulocytic lineage, but only partially the peripheral pathology of AML."
C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,regulates,C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,18303054,IKAP localizes to membrane ruffles with filamin A and regulates actin cytoskeleton organization and cell migration.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18303054,"Depletion of IKAP resulted in a significant decrease in filamin A localization in membrane ruffles and defective actin cytoskeleton organization, which both could be rescued by the expression of wild-type IKAP but not by FD-IKAP."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18303054,"Depletion of IKAP resulted in a significant decrease in filamin A localization in membrane ruffles and defective actin cytoskeleton organization, which both could be rescued by the expression of wild-type IKAP but not by FD-IKAP."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,18303054,"Depletion of IKAP resulted in a significant decrease in filamin A localization in membrane ruffles and defective actin cytoskeleton organization, which both could be rescued by the expression of wild-type IKAP but not by FD-IKAP."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,18303054,"These results provide evidence for the role of the cytosolic interactions of IKAP in cell adhesion and migration, and support the notion that cell-motility deficiencies could contribute to FD."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18303054,"These results provide evidence for the role of the cytosolic interactions of IKAP in cell adhesion and migration, and support the notion that cell-motility deficiencies could contribute to FD."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,18303054,"These results provide evidence for the role of the cytosolic interactions of IKAP in cell adhesion and migration, and support the notion that cell-motility deficiencies could contribute to FD."
C-X-C motif chemokine 10,Tumor necrosis factor,inhibits,C-X-C motif chemokine 10,Tumor necrosis factor,18625722,"Importantly, HDAC7 knockdown inhibits tumor necrosis factor alpha-induced PML sumoylation and the formation of PML NBs in HUVECs."
C-X-C motif chemokine 10,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 10,Lymphotoxin-alpha,18625722,These results demonstrate a novel function of HDAC7 and provide a regulatory mechanism of PML sumoylation.
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,18312697,"However, if SCFhFBH1 complex formation is also necessary for its nuclear transport and recruitment to DNA damage sites, the alteration in subcellular localization caused by the F-box mutation might affect hFBH1 stability in budding yeast cells."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23332754,"Two mutants comprise site-specific exchanges in motif-1 (L121W) and motif-2 (V480R/V484R), respectively, whereas the DeltaTPR mutant lacks the entire motif-1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16420575,Analysis with two conformation-specific mAb demonstrated that the structure of the A1 domain changed as a result of the binding to collagen.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,binds,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,16420575,"CONCLUSION: This study has shown that the isolated A1 domain can simultaneously bind to collagen and platelet GPIb, supporting platelet adhesion under high-flow conditions."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18160704,How signaling cascades influence gene regulation at the level of chromatin modification is not well understood.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,activates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18160704,"When cells sense Wingless ligand, Armadillo (the fly beta-catenin) becomes stabilized and translocates to the nucleus, where it binds to the sequence-specific DNA binding protein TCF to activate transcription of target genes."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,9692672,"The influence of insulin on this pathway consists of five important events: (1) p21Ras activation is promoted by insulin stimulation of the guanine nucleotide exchange factor, Sos, resulting in increased GTP-loading of p21Ras; (2) p21Ras deactivation involves the hyperphosphorylation of Sos; (3) insulin increases farnesyltransferase (FTase) activity that farnesylates p21Ras; (4) increased amounts of farnesylated p21Ras translocate to the plasma membrane where they can be activated by other growth-promoting agents; and (5) cellular responses to other growth factors are potentiated by insulin-stimulated pre-loading of the plasma membrane with farnesylated p21Ras."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,1901916,Site-specific mutagenesis identifies three cysteine residues in the cytoplasmic tail as acylation sites of influenza virus hemagglutinin.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18665226,"Flow cytometry analysis of follicle cell nuclei also did not reveal any significant differences in ploidy content (Table S1), proportion of follicle cells in S phase (Table S2) or nuclear size (Table S3) versus controls."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18665226,"These data suggest that although Rbf1N is sufficient for chromatin localization and its interaction with Orc2, the Rbf1N (1-345) domain alone is not sufficient for significantly altering the cell cycle in vivo."
Interleukin-2,Lymphotoxin-alpha,activates,Interleukin-2,Lymphotoxin-alpha,10068671,"Interferon-alpha activates multiple STAT proteins and upregulates proliferation-associated IL-2Ralpha, c-myc, and pim-1 genes in human T cells."
Interleukin-15,Interleukin-2,unknown,Interleukin-15,Interleukin-2,10068671,"Treatment of T lymphocytes with IFN-alpha, IL-2, IL-12, and IL-15 upregulated IL-2Ralpha, c-myc, and pim-1 gene expression."
Interleukin-15,Interleukin-2,unknown,Interleukin-15,Interleukin-2,10068671,IL-12 induced STAT4 and IL-2 and IL-15 induced STAT5 binding to the GAS elements.
